customer_id,recency_days,frequency,monetary_avg,tenure_days,purchase_rhythm,recent_activity,churned,region
C0050,6,12,127.09333333333332,432,39.27272727272727,4,0,South
C0051,45,6,67.29833333333333,416,83.2,3,0,West
C0052,22,12,116.91416666666667,257,23.363636363636363,6,1,West
C0053,85,10,67.707,417,46.333333333333336,1,0,South
C0054,21,13,154.3053846153846,438,36.5,2,1,North
C0055,29,8,175.0,436,62.285714285714285,2,1,North
C0056,11,11,270.97090909090906,412,41.2,2,0,West
C0057,0,11,49.85363636363636,411,41.1,5,0,East
C0058,2,6,141.85333333333332,295,59.0,3,0,West
C0059,23,10,107.39200000000001,433,48.111111111111114,3,1,West
C0060,102,9,97.74111111111112,409,51.125,0,0,West
C0061,58,10,223.291,431,47.888888888888886,3,0,North
C0062,1,5,246.984,411,102.75,1,0,North
C0063,21,11,92.69454545454546,405,40.5,1,1,North
C0064,5,10,92.77000000000001,318,35.333333333333336,4,0,West
C0065,29,14,186.97357142857143,392,30.153846153846153,2,1,East
C0066,30,9,92.21111111111111,368,46.0,4,1,North
C0067,37,9,183.30888888888887,424,53.0,1,1,South
C0068,1,7,71.64,404,67.33333333333333,3,0,South
C0069,130,8,127.94500000000001,415,59.285714285714285,0,1,South
C0070,29,8,270.49125000000004,406,58.0,4,1,West
C0071,2,11,65.11272727272727,446,44.6,4,0,South
C0072,28,8,90.0325,448,64.0,2,1,West
C0073,12,10,130.84,376,41.77777777777778,3,0,South
C0074,70,12,88.4775,444,40.36363636363637,1,1,East
C0075,2,10,142.403,443,49.22222222222222,4,0,West
C0076,122,12,158.84333333333333,407,37.0,0,1,South
C0077,23,15,142.63733333333332,441,31.5,4,1,North
C0078,12,12,220.08749999999998,450,40.90909090909091,5,0,West
C0079,7,11,81.34727272727274,378,37.8,3,0,North
C0080,65,3,34.72666666666667,217,108.5,1,0,North
C0081,17,12,91.115,443,40.27272727272727,5,0,North
C0082,68,9,106.3388888888889,354,44.25,4,1,North
C0083,30,9,75.69222222222223,337,42.125,3,0,South
C0084,13,10,148.08800000000002,401,44.55555555555556,2,0,South
C0085,9,14,102.90714285714286,378,29.076923076923077,4,0,West
C0086,34,11,151.54636363636362,407,40.7,2,0,West
C0087,25,9,115.35000000000001,368,46.0,1,0,West
C0088,99,6,52.65,435,87.0,0,0,South
C0089,9,7,53.76285714285715,292,48.666666666666664,2,0,West
C0090,5,14,155.33785714285713,428,32.92307692307692,4,0,North
C0091,10,8,71.50625,433,61.857142857142854,3,0,South
C0092,15,12,72.08166666666666,406,36.90909090909091,3,0,West
C0093,58,9,142.43666666666667,343,42.875,1,1,North
C0094,121,9,99.69555555555556,267,33.375,0,1,West
C0095,14,7,65.82142857142857,385,64.16666666666667,1,0,East
C0096,12,10,92.154,369,41.0,3,0,West
C0097,11,16,128.50125,418,27.866666666666667,3,0,East
C0098,9,13,173.60692307692307,416,34.666666666666664,5,0,West
C0099,2,11,69.27545454545454,442,44.2,4,0,West
C0100,18,13,170.76461538461538,449,37.416666666666664,2,0,South
C0101,101,5,150.774,365,91.25,0,1,South
C0102,15,11,74.38727272727273,381,38.1,3,0,East
C0103,83,6,134.04166666666666,381,76.2,1,1,South
C0104,13,10,72.248,450,50.0,4,1,North
C0105,66,10,120.375,410,45.55555555555556,3,1,North
C0106,9,16,133.04625000000001,450,30.0,1,0,East
C0107,16,8,109.2,430,61.42857142857143,3,0,North
C0108,17,8,104.1725,407,58.142857142857146,3,0,North
C0109,51,12,122.2,333,30.272727272727273,2,1,West
C0110,49,9,142.1588888888889,383,47.875,4,1,South
C0111,30,7,73.27142857142857,438,73.0,2,1,North
C0112,1,6,167.16166666666666,392,78.4,5,0,North
C0113,6,11,77.24727272727273,400,40.0,3,1,South
C0114,34,9,95.61333333333333,435,54.375,1,0,North
C0115,37,9,53.593333333333334,413,51.625,1,0,North
C0116,55,12,117.19583333333333,442,40.18181818181818,3,0,South
C0117,4,14,93.39,382,29.384615384615383,5,0,West
C0118,46,9,58.833333333333336,349,43.625,1,0,North
C0119,104,11,64.50090909090909,390,39.0,0,0,South
C0120,151,5,143.68400000000003,448,112.0,0,0,North
C0121,34,15,116.554,445,31.785714285714285,2,1,North
C0122,20,16,112.468125,403,26.866666666666667,6,0,West
C0123,1,9,80.48888888888888,428,53.5,3,0,East
C0124,27,11,140.62818181818182,415,41.5,3,0,East
C0125,12,8,207.565,350,50.0,3,0,South
C0126,0,11,111.61090909090909,437,43.7,5,0,East
C0127,171,8,142.56875,450,64.28571428571429,0,0,South
C0128,7,12,107.24916666666667,420,38.18181818181818,2,0,East
C0129,9,9,191.4911111111111,422,52.75,2,0,West
C0130,6,15,87.48266666666667,421,30.071428571428573,6,0,South
C0131,4,5,76.578,410,102.5,2,0,East
C0132,12,9,117.74666666666667,450,56.25,2,0,West
C0133,37,7,81.11857142857143,345,57.5,2,0,East
C0134,92,15,121.354,401,28.642857142857142,0,0,North
C0135,15,8,72.20875,447,63.857142857142854,2,0,North
C0136,8,3,53.550000000000004,276,138.0,1,0,West
C0137,67,10,112.603,362,40.22222222222222,1,0,North
C0138,102,5,101.61800000000001,426,106.5,0,1,North
C0139,92,6,47.02166666666667,242,48.4,0,0,South
C0140,2,8,126.30250000000001,427,61.0,1,1,East
C0141,6,13,90.16,398,33.166666666666664,5,1,South
C0142,25,10,68.963,397,44.111111111111114,4,0,East
C0143,6,11,70.93,444,44.4,2,0,North
C0144,23,10,178.902,445,49.44444444444444,1,0,South
C0145,1,12,120.7025,394,35.81818181818182,5,0,East
C0146,11,6,142.64166666666668,359,71.8,2,1,East
C0147,6,7,130.9742857142857,420,70.0,1,0,South
C0148,21,9,88.47333333333333,374,46.75,4,1,West
C0149,6,8,64.2075,413,59.0,3,1,East
C0150,22,9,66.43222222222222,433,54.125,2,1,North
C0151,9,10,113.072,205,22.77777777777778,3,1,East
C0152,3,9,148.07000000000002,385,48.125,3,1,North
C0153,0,11,83.37272727272727,449,44.9,4,0,South
C0154,4,11,105.45454545454545,370,37.0,3,0,East
C0155,9,6,251.97333333333336,421,84.2,3,0,North
C0156,3,9,78.9511111111111,333,41.625,4,0,North
C0157,5,12,147.9925,444,40.36363636363637,6,1,South
C0158,3,11,93.93181818181819,443,44.3,3,0,East
C0159,9,9,55.33444444444444,428,53.5,3,0,East
C0160,33,8,169.5525,351,50.142857142857146,3,1,South
C0161,14,9,155.68666666666667,367,45.875,5,1,East
C0162,11,14,141.52357142857144,408,31.384615384615383,5,0,South
C0163,10,9,71.26,443,55.375,3,0,East
C0164,27,10,135.87,445,49.44444444444444,1,1,West
C0165,70,8,135.44125,387,55.285714285714285,3,0,East
C0166,38,14,84.16785714285713,438,33.69230769230769,2,1,North
C0167,118,5,168.07,429,107.25,0,1,North
C0168,86,12,93.88833333333334,377,34.27272727272727,1,0,West
C0169,19,9,153.35444444444445,398,49.75,3,0,East
C0170,46,12,91.13916666666667,441,40.09090909090909,3,0,North
C0171,34,8,120.75874999999999,440,62.857142857142854,2,1,North
C0172,42,11,96.49545454545455,446,44.6,1,1,East
C0173,24,6,70.68666666666667,376,75.2,2,0,South
C0174,10,11,81.74272727272728,449,44.9,2,1,East
C0175,12,8,159.13375000000002,360,51.42857142857143,4,0,South
C0176,4,14,140.92928571428573,352,27.076923076923077,5,1,West
C0177,18,14,84.30642857142857,380,29.23076923076923,2,0,West
C0178,23,10,94.829,362,40.22222222222222,1,0,North
C0179,32,11,112.60454545454546,434,43.4,2,1,North
C0180,31,11,68.19909090909091,288,28.8,2,1,North
C0181,12,13,90.22000000000001,442,36.833333333333336,3,0,South
C0182,29,12,81.665,382,34.72727272727273,3,0,North
C0183,35,9,118.01111111111112,415,51.875,2,1,East
C0184,74,13,93.50076923076924,447,37.25,1,1,South
C0185,2,9,91.95555555555556,347,43.375,4,0,West
C0186,19,10,158.535,281,31.22222222222222,6,0,South
C0187,95,8,138.42875,403,57.57142857142857,0,0,North
C0188,11,8,151.12125,235,33.57142857142857,4,0,East
C0189,10,15,64.52933333333333,403,28.785714285714285,2,0,East
C0190,19,9,129.28000000000003,444,55.5,1,1,North
C0191,12,11,88.75181818181818,434,43.4,3,1,East
C0192,66,6,143.94333333333333,378,75.6,2,0,South
C0193,59,10,122.374,441,49.0,1,1,South
C0194,2,9,94.63333333333334,380,47.5,3,0,North
C0195,109,9,87.40444444444444,401,50.125,0,1,East
C0196,78,12,214.09666666666666,448,40.72727272727273,2,1,West
C0197,14,11,119.61545454545454,371,37.1,3,0,South
C0198,29,14,105.99714285714286,425,32.69230769230769,3,1,South
C0199,51,12,141.785,445,40.45454545454545,2,1,South
C0200,106,6,59.74166666666667,386,77.2,0,0,South
C0201,6,11,97.46181818181817,372,37.2,3,1,West
C0202,3,15,116.05466666666666,426,30.428571428571427,2,0,North
C0203,20,16,120.21437499999999,412,27.466666666666665,5,0,South
C0204,9,8,90.6175,378,54.0,3,0,East
C0205,18,14,174.5335714285714,420,32.30769230769231,5,1,West
C0206,47,8,119.885,370,52.857142857142854,2,0,South
C0207,30,15,141.37066666666666,440,31.428571428571427,4,1,East
C0208,14,9,112.66111111111111,371,46.375,2,1,South
C0209,6,6,174.6016666666667,303,60.6,3,0,North
C0210,36,10,82.127,403,44.77777777777778,3,1,West
C0211,6,12,82.31166666666667,447,40.63636363636363,4,0,North
C0212,3,9,147.04666666666668,385,48.125,5,0,West
C0213,14,7,117.21428571428571,435,72.5,2,0,South
C0214,24,11,112.42636363636365,388,38.8,4,0,South
C0215,4,11,89.20363636363636,426,42.6,5,0,West
C0216,50,13,96.28,433,36.083333333333336,2,1,East
C0217,59,11,83.8690909090909,425,42.5,1,0,East
C0218,39,11,126.53363636363638,437,43.7,2,0,South
C0219,22,13,70.50615384615385,387,32.25,4,1,South
C0220,15,6,54.61833333333333,431,86.2,2,0,North
C0221,11,10,137.902,373,41.44444444444444,3,1,South
C0222,35,9,163.38888888888889,358,44.75,1,1,West
C0223,0,10,90.191,416,46.22222222222222,3,0,East
C0224,15,8,83.87875,414,59.142857142857146,2,0,East
C0225,34,11,68.45545454545454,430,43.0,2,1,North
C0226,9,11,83.53,441,44.1,2,0,East
C0227,22,10,83.793,444,49.333333333333336,3,1,East
C0228,18,12,99.16666666666667,445,40.45454545454545,4,0,West
C0229,4,15,117.71133333333334,420,30.0,5,1,East
C0230,72,16,94.855625,352,23.466666666666665,1,1,North
C0231,6,13,113.00153846153846,324,27.0,5,0,North
C0232,4,6,189.92166666666665,444,88.8,1,0,East
C0233,10,14,85.85642857142857,432,33.23076923076923,3,1,South
C0234,61,9,87.64555555555555,438,54.75,1,0,East
C0235,124,1,66.17,124,124.0,0,0,North
C0236,46,11,118.57090909090908,412,41.2,1,1,North
C0237,14,7,107.5957142857143,335,55.833333333333336,4,0,West
C0238,7,11,129.61,435,43.5,3,0,East
C0239,4,10,81.011,427,47.44444444444444,1,0,East
C0240,21,11,95.9509090909091,346,34.6,5,0,West
C0241,99,6,76.97000000000001,394,78.8,0,0,North
C0242,52,11,104.00454545454545,406,40.6,1,1,West
C0243,4,12,169.02083333333334,345,31.363636363636363,2,0,South
C0244,12,11,67.35000000000001,416,41.6,3,1,East
C0245,79,8,149.86875,416,59.42857142857143,1,0,North
C0246,0,13,148.7776923076923,448,37.333333333333336,6,0,West
C0247,84,6,179.1933333333333,365,73.0,1,0,North
C0248,104,7,110.78428571428572,443,73.83333333333333,0,0,South
C0249,11,10,85.913,447,49.666666666666664,5,0,East
C0250,2,17,58.17529411764706,376,23.5,9,0,West
